Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
ikman.lk,Honda,Vezel,Z Grade,2015,Automatic,Hybrid,Crossover,1490,"151,000.00"," 10,750,000.00 ",Yes, 71.19 
ikman.lk,Audi,Q2,,2019,Automatic,Petrol,Crossover,1000,"93,000.00"," 15,250,000.00 ",No, 163.98 
ikman.lk,Honda,Grace,EX,2017,Automatic,Hybrid,Saloon,1500,"76,000.00"," 11,475,000.00 ",Yes, 150.99 
ikman.lk,Toyota,Raize,Z,2024,Automatic,Hybrid,Crossover,1200,0," 16,500,000.00 ",Yes,#DIV/0!
ikman.lk,Subaru,XV,,2013,Automatic,Hybrid,Crossover,2000,"63,000.00"," 9,750,000.00 ",Yes, 154.76 
ikman.lk,Toyota,Pixis,Epoch,2018,Automatic,Petrol,Hatchback,660,"43,000.00"," 6,290,000.00 ",No, 146.28 
ikman.lk,Mercedes Benz,CLA 180,AMG Premium Plus,2018,Automatic,Petrol,Saloon,1600,"47,000.00"," 20,790,000.00 ",Yes, 442.34 
ikman.lk,Kia,Rio,,2015,Automatic,Petrol,Saloon,1400,"44,000.00"," 7,500,000.00 ",Yes, 170.45 
ikman.lk,BMW ,X5,,2016,Automatic,Petrol,Crossover,2000,"75,000.00"," 28,950,000.00 ",Yes, 386.00 
ikman.lk,BMW ,520d,3 Option,2015,Automatic,Diesel,Saloon,1995,"60,000.00"," 29,450,000.00 ",Yes, 490.83 
ikman.lk,BMW ,740e,,2017,Triptonic,Petrol,Saloon,2000,"60,000.00"," 49,500,000.00 ",No, 825.00 
ikman.lk,Volkswagen,Passat,TSI,2008,Automatic,Petrol,Saloon,1390,"73,000.00"," 8,690,000.00 ",Yes, 119.04 
ikman.lk,Honda,Vezel,,2018,Triptonic,Hybrid,Crossover,1500,"64,000.00"," 14,300,000.00 ",Yes, 223.44 
ikman.lk,Toyota,Land Cruiser Prado,TRJ250,2025,Automatic,Petrol,SUV,2700,0," 59,500,000.00 ",No,#DIV/0!
ikman.lk,Honda,Vezel,,2014,Automatic,Hybrid,Crossover,1490,"96,000.00"," 11,000,000.00 ",Yes, 114.58 
ikman.lk,Land Rover,Range Rover Evoque,,2013,Automatic,Diesel,SUV,2200,"111,000.00"," 19,500,000.00 ",Yes, 175.68 
ikman.lk,Suzuki,Swift,RS Turbo,2017,Automatic,Petrol,Hatchback,1000,"85,000.00"," 8,790,000.00 ",Yes, 103.41 
ikman.lk,Micro,Rexton,,2016,Automatic,Diesel,SUV,2500,"84,000.00"," 13,500,000.00 ",Yes, 160.71 
