Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Suzuki,Spacia,2016,Automatic,Petrol,660,142000,6250000
Peugeot,203,1956,Manual,Petrol,1300,25000,3650000
Toyota,Elephant Back EE104,2020,Automatic,Petrol,1500,3212,3495000
Peugeot,306,1996,Manual,Petrol,1360,146086,1450000
Suzuki,Alto,2016,Manual,Petrol,800,76000,3750000
Toyota,Allion,2017,Automatic,Petrol,1500,108000,15500000
Mitsubishi,Lancer Box,1983,Manual,Petrol,1400,80924,1950000
Daihatsu,Mira Safety,2023,Automatic,Petrol,660,16000,7090000
Daihatsu,Mira,2017,Automatic,Petrol,650,56131,6375000
Toyota,AQUA,2015,Automatic,Hybrid,1500,136000,8975000
Suzuki,Wagon R Fx,2018,Automatic,Hybrid,650,48000,6390000
Toyota,VITZ KSP130,2017,Automatic,Petrol,1000,65000,8450000
BMW,520D,2012,Automatic,Diesel,2000,70000,23000000
Toyota,Premio,2010,Automatic,Petrol,1490,260000,10500000
Kia,Rio RS,2005,Manual,Petrol,1598,112000,2195000
Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,110000,6125000
Suzuki,Swift,2002,Automatic,Petrol,1300,184000,4090000
Suzuki,Swift,2009,Automatic,Petrol,1300,125400,6025000
Suzuki,Swift,2003,Automatic,Petrol,1300,175000,4200000
Suzuki,Spacia,2017,Automatic,Hybrid,650,89121,7390000
Suzuki,Maruti,2000,Manual,Petrol,800,128000,1600000
Toyota,Vitz,2017,Automatic,Petrol,1000,83000,8450000
Honda,Fit GP1,2012,Automatic,Petrol,1300,160000,6500000
Volkswagen,PASSAT TSI 1.4L,2008,Automatic,Petrol,1400,76000,7890000
Hyundai,Matrix,2000,Automatic,Petrol,1499,220000,2250000
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,650,58100,7575000
Mitsubishi,Lancer Cs1 Glx,2008,Automatic,Petrol,1300,154836,6590000
Toyota,Premio 260,2014,Automatic,Petrol,1500,147000,13550000
Daihatsu,Mira,2023,Automatic,Petrol,660,2300,6950000
Suzuki,Swift RS Turbo,2017,Automatic,Petrol,1000,90000,9350000
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,3769,8190000
Toyota,ROOMY GT CUSTOM TURBO,2023,Automatic,Petrol,1000,35000,12390000
Toyota,Vista,1995,Manual,Petrol,1830,3,3050000
Suzuki,Wagon R Fx,2017,Automatic,Hybrid,650,108612,6495000
Hyundai,Accent,2003,Manual,Petrol,1400,14000,23500000
Toyota,Vitz KSP130,2015,Automatic,Petrol,1000,104250,7295000
Suzuki,Alto,2014,Manual,Petrol,800,11111,3195000
Toyota,AQUA X URBAN,2015,Automatic,Hybrid,1500,113000,8890000
Nissan,Highway Star LAFESTA G,2013,Automatic,Petrol,2000,125000,9490000
Mitsubishi,Lancer Box,1980,Manual,Petrol,1400,35000,900000
Toyota,Premio 260,2012,Automatic,Petrol,1500,128000,11350000
Suzuki,Maruti,2005,Manual,Petrol,800,0,1725000
Suzuki,Wagon R Stingray,2014,Automatic,Hybrid,650,76183,6190000
Mitsubishi,C12,1985,Manual,Petrol,1490,350000,650000
Mercedes-Benz,E300 Bluetec,2014,Automatic,Hybrid,2143,55743,18800000
Honda,Fit Aria GD8 Japan,2008,Automatic,Petrol,1500,139000,5395000
Toyota,Vitz,2018,Automatic,Petrol,990,33500,9200000
Honda,Fit Gp1 Ge6,2009,Automatic,Petrol,1330,155200,6375000
Toyota,Axio X Grade,2008,Automatic,Petrol,1500,190000,7650000
Micro,Panda Cross,2014,Manual,Petrol,1300,64000,3250000
Toyota,EE102,1996,Manual,Petrol,1300,0,25750000
Mercedes-Benz,C200 AMG Premium,2019,Automatic,Petrol,1500,44500,27500000
Suzuki,Alto,2016,Manual,Petrol,800,87000,3830000
Chevrolet,Cruze Gm Limited Edition,2005,Automatic,Petrol,1330,142000,4395000
Chevrolet,Cruze GM,2004,Automatic,Petrol,1300,151000,4390000
Mazda,RX-8 ,2006,Automatic,Petrol,1300,0,6500000
Tata,Indigo,2015,Manual,Petrol,1200,82000,3050000
Hyundai,Accent,2000,Automatic,Petrol,1500,180000,2690000
Suzuki,Alto,2015,Manual,Petrol,800,142000,3775000
Toyota,Starlet,2000,Manual,Diesel,1450,191000,2950000
Toyota,Axio X Grade,2014,Automatic,Hybrid,1500,108000,9590000
Suzuki,Alto,2015,Manual,Petrol,800,89000,3690000
Fiat,Linea,2011,Manual,Petrol,1300,115000,3290000
Suzuki,Alto,2017,Manual,Petrol,800,90141,4095000
Mitsubishi,Galant,2003,Manual,Petrol,1900,214000,3990000
Toyota,Soluna GLI,2003,Automatic,Petrol,1300,189000,3550000
Toyota,Vitz,2015,Automatic,Petrol,1000,54985,7650000
Honda,CIVIC EX,2018,Automatic,Petrol,1000,66000,13800000
Toyota,Aqua S Grade,2013,Automatic,Hybrid,1500,136000,7600000
Toyota,Premio 240,2003,Automatic,Petrol,1500,196000,6990000
Nissan,HB11,1985,Manual,Petrol,1500,231133,1350000
Honda,INSIGHT ZE2,2010,Automatic,Petrol,1330,189000,7390000
Nissan,March AK12,2007,Automatic,Petrol,1300,106000,4625000
Toyota,Yaris,2011,Manual,Petrol,1300,124000,6590000
Toyota,Prius S,2011,Automatic,Hybrid,1800,115900,9975000
Toyota,Vitz,2017,Automatic,Petrol,1000,76000,8625000
Mitsubishi,Lancer Box,1980,Manual,Petrol,1410,55,1050000
Volkswagen,Jetta,1987,Manual,Petrol,1300,475000,790000
Suzuki,ALTO,2013,Manual,Petrol,800,140000,3250000
Honda,Civic Ek3,1998,Manual,Diesel,1500,400000,3600000
Toyota,Corolla 121,2005,Automatic,Petrol,1500,172000,6475000
Nissan,Bluebird,2008,Automatic,Petrol,1490,236000,7175000
Honda,Honda,1990,Manual,Petrol,1500,130000,1535000
Nissan,SB14,1999,Automatic,Diesel,2000,245125,2750000
Toyota,Corona Premio,1999,Automatic,Petrol,1580,218383,4750000
Toyota,Premio,2018,Automatic,Petrol,1490,84000,16950000
Toyota,Premio,2013,Automatic,Petrol,1500,195000,12600000
Nissan,March,2007,Automatic,Petrol,1000,179000,3390000
Datsun,Sunny,1975,Manual,Petrol,1171,0,695000
Toyota,Corona,1987,Manual,Diesel,1500,50000,800000
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,660,80000,7275000
Perodua,Axia G,2015,Automatic,Petrol,1000,75000,5950000
Suzuki,Swift Center Anternna,2003,Automatic,Petrol,1300,148000,4240000
Suzuki,A-Star,2011,Manual,Petrol,1000,117000,3650000
Honda,GRACE EX,2016,Automatic,Hybrid,1500,173600,10695000
Toyota,Corolla Elephant Back GL,1997,Automatic,Petrol,1500,175100,3300000
Toyota,Corolla,1985,Manual,Petrol,1300,11111,925000
Toyota,Axio,2016,Automatic,Hybrid,1500,66000,12000000
Honda,FIT GP5 S GRADE,2015,Automatic,Hybrid,1500,131000,8495000
Toyota,AQUA X Urban,2015,Automatic,Hybrid,1500,80000,9395000
Nissan,B15,2001,Automatic,Petrol,1300,217500,3675000
Suzuki,Alto LXI,2015,Manual,Petrol,800,91000,3770000
Suzuki,EE 90,1991,Manual,Petrol,1270,77777,1500000
Toyota,PRIUS G LIMITED,2012,Automatic,Hybrid,1800,139800,10620000
Toyota,COROLLA AE110,1997,Automatic,Petrol,1500,183633,4395000
BMW,520d,2013,Automatic,Diesel,1995,112000,24250000
Nissan,FB14,1995,Manual,Petrol,1500,12345,2250000
Suzuki,Wagon R Stingray,2017,Automatic,Petrol,650,84270,6650000
Toyota,Prius S,2011,Automatic,Hybrid,1790,157000,9675000
Nissan,FB15 EX Saloon,2001,Automatic,Petrol,1500,148000,4350000
Toyota,Aqua G,2013,Automatic,Hybrid,1500,132500,8450000
Hyundai,STELLAR GSL,1989,Manual,Petrol,1500,152996,895000
Mitsubishi,Lancer Box,1984,Manual,Petrol,1400,12345,950000
Toyota,Axio G,2014,Automatic,Hybrid,1500,154000,9350000
Hyundai,Sonata H Matic,2002,Automatic,Petrol,2000,223000,2850000
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,650,82000,7450000
Toyota,Allion 240,2006,Automatic,Petrol,1500,180000,7500000
Suzuki,ALTO,2017,Manual,Petrol,800,80000,4350000
Nissan,PULSAR,1998,Automatic,Diesel,2000,165000,2895000
Perodua,Kelisa,2005,Automatic,Petrol,1000,167000,3475000
Toyota,Yaris,2023,Automatic,Petrol,1000,10000,10800000
Toyota,Vista,2000,Automatic,Petrol,1890,759000,3750000
Suzuki,Alto Japan,2023,Automatic,Petrol,650,6000,7150000
Honda,CIVIC TECH PACK SEDAN,2019,Automatic,Petrol,1000,117000,13500000
Toyota,COROLLA,1997,Automatic,Diesel,2000,270000,2675000
Nissan,Cedric,1999,Automatic,Petrol,1990,100000,2000000
Nissan,B11 SUNNY,1985,Manual,Petrol,1500,111111,700000
Toyota,SAI AZK10,2010,Automatic,Hybrid,2360,46000,12800000
Nissan,Skyline,1976,Automatic,Petrol,2000,80000,750000
Suzuki,Wagon R,2017,Automatic,Petrol,660,70000,6650000
Toyota,Aqua G Grade,2013,Automatic,Hybrid,1500,160000,7950000
Honda,Civic FD4,2008,Automatic,Petrol,1600,203000,7250000
Toyota,Axio G Grade,2007,Automatic,Petrol,1500,176500,7950000
Honda,Fit Aria GD8,2004,Automatic,Petrol,1500,163000,4750000
Proton,Saloon,1990,Manual,Petrol,1500,13500,2200000
Toyota,Yaris,2010,Automatic,Diesel,1500,64000,6950000
Mercedes-Benz,Cla 180 AMG Line,2017,Automatic,Petrol,1600,33000,22700000
Toyota,Vitz SCP 10,2003,Automatic,Petrol,1000,236000,4650000
Suzuki,Alto,2010,Manual,Petrol,800,129000,2875000
Toyota,ALLION 240,2003,Automatic,Petrol,1500,166560,7395000
Daihatsu,MIRA,2007,Automatic,Petrol,650,131000,4495000
Toyota,Vitz,2017,Automatic,Petrol,1000,76000,8675000
Toyota,Allion,2012,Automatic,Petrol,1500,164000,9900000
Suzuki,Alto,2015,Manual,Petrol,800,85000,3750000
Toyota,AQUA URBAN,2015,Automatic,Hybrid,1500,128408,9595000
Perodua,Axia,2016,Automatic,Petrol,1000,48000,6090000
Suzuki,Maruti,2004,Manual,Petrol,800,0,1625000
Honda,Civic,2019,Automatic,Petrol,1000,62000,14900000
Toyota,Vitz,2008,Automatic,Petrol,1000,94000,5725000
Mercedes-Benz,E200 CDI,2010,Automatic,Petrol,1800,129000,15600000
Suzuki,MARUTI 800,2011,Manual,Petrol,800,78908,2225000
Honda,Civic FD4,2007,Automatic,Petrol,1600,230000,6850000
Hyundai,Accent,2006,Manual,Petrol,1400,188,2560000
Toyota,PREMIO 211,1999,Automatic,Petrol,1800,180000,4750000
Nissan,BLUEBIRD,1999,Automatic,Petrol,1800,178000,2995000
Daihatsu,Charmant,1985,Manual,Petrol,1290,0,1750000
Suzuki,Alto,2015,Manual,Petrol,800,107000,3725000
Suzuki,Baleno,2018,Automatic,Petrol,1000,140000,8000000
Suzuki,WAGON R STINGRAY,2017,Automatic,Hybrid,660,63000,7190000
Nissan,FB 15,1999,Automatic,Petrol,1500,0,3950000
Toyota,Axio G Grade,2015,Automatic,Hybrid,1500,159000,11375000
Mercedes-Benz,S320 AMG W220,2004,Automatic,Petrol,3200,137000,6950000
Toyota,Ce100,1995,Manual,Diesel,1999,0,2380000
Honda,ACCORD,1998,Manual,Petrol,2000,245000,2975000
Hyundai,Trajet,2003,Automatic,Petrol,2400,200000,3950000
Toyota,VIOS,2008,Automatic,Petrol,1500,111111,6585000
Toyota,Premio,2017,Automatic,Petrol,1500,131000,16500000
Toyota,ALLION 260,2013,Automatic,Petrol,1500,140000,12050000
Toyota,KDH High Roof,2014,Automatic,Diesel,3000,144000,21495000
Micro,Panda Cross,2014,Manual,Petrol,1300,78000,3275000
Toyota,Corsa EL53,1997,Automatic,Petrol,1500,176800,3275000
Daihatsu,Cuore,1996,Manual,Petrol,850,133000,1790000
Toyota,Axio,2017,Automatic,Petrol,1500,98000,13500000
Perodua,Viva Elite,2012,Automatic,Petrol,1000,139000,4600000
Hyundai,Sonata,2012,Automatic,Petrol,2000,128000,8475000
Toyota,Aqua,2012,Automatic,Hybrid,1500,144000,7000000
Suzuki,Alto,2015,Manual,Petrol,800,88525,3650000
Nissan,B 11,1983,Manual,Petrol,1500,288900,995000
Toyota,PREMIO,2017,Automatic,Petrol,1500,81000,16375000
Toyota,Axio Hybrid G Grade,2015,Automatic,Hybrid,1500,108000,11500000
Honda,Civic EK3,1998,Manual,Petrol,1500,220000,4050000
Fiat,Linea,2012,Manual,Diesel,1300,68000,2950000
Honda,N WGN Custom,2017,Automatic,Petrol,650,78000,6885000
Nissan,FB14,1997,Manual,Petrol,1400,220000,2825000
Daihatsu,Mira Safety ES,2018,Automatic,Petrol,650,78000,6385000
Nissan,HB11,1985,Manual,Petrol,1500,12345,925000
Toyota,PremioAllion NZT 260,2016,Automatic,Petrol,1500,49000,15700000
BMW,I8 Roadster Limited,2019,Automatic,Hybrid,1500,13000,44500000
Toyota,Carina,1988,Manual,Petrol,1500,258888,500000
Morris,Minor,1954,Manual,Petrol,1000,95000,2350000
Nissan,FB15,2001,Automatic,Petrol,1500,296700,41500000
Chery,Qq,2006,Manual,Petrol,800,193,1300000
Toyota,Aqua S Grade,2013,Automatic,Hybrid,1500,93525,7875000
Subaru,Wrx STI 8,2009,Automatic,Petrol,2000,137000,11500000
Perodua,Viva Elite AMIEZR,2011,Automatic,Petrol,100,100250,4480000
Suzuki,Celerio Zxi,2017,Automatic,Petrol,996,14000,5400000
Suzuki,CELERIO,2017,Automatic,Petrol,1000,143000,4890000
Morris,Mini Cooper,1960,Manual,Petrol,1000,24120,1650000
