Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Mitsubishi,Lancer,Box,1985,Manual,Petrol,Saloon,"1,400 cc","76,290 km","Rs 1,375,000",Yes
Mitsubishi,Lancer,,1983,Manual,Petrol,Saloon,"1,400 cc","57,536 km","Rs 1,375,000",Yes
Toyota,Corolla,DX Wagon,1985,Manual,Petrol,Station wagon,"1,300 cc","156,200 km","Rs 1,375,000",Yes
Toyota,Cast,AT150,1988,Manual,Petrol,Saloon,"1,500 cc","310,800 km","Rs 1,375,000",No
Chery,QQ,2006,2006,Manual,Petrol,,800 cc,"95,000 km","Rs 1,400,000",No
Mitsubishi,Lancer,Lance CB3A,1995,Manual,Petrol,Coupé/Sports,"1,500 cc","237,736 km","Rs 1,400,000",No
Mitsubishi,Lancer,Mitsubishi,1982,Manual,Petrol,Saloon,"1,400 cc","110,000 km","Rs 1,400,000",Yes
Nissan,Sunny,B11,1985,Manual,Petrol,Saloon,"1,500 cc","188,135 km","Rs 1,400,000",Yes
Toyota,Corolla,DX,1984,Manual,Petrol,Station wagon,"1,360 cc","200,000 km","Rs 1,400,000",No
Toyota,Tercel,1991,1991,Automatic,Petrol,Saloon,"1,330 cc","266,500 km","Rs 1,400,000",Yes
Toyota,Corolla,Dx Wagon,1996,Manual,Petrol,Station wagon,"1,290 cc","240,000 km","Rs 1,400,000",Yes
Volkswagen,Other Model,Caddy,1998,Manual,Petrol,,"1,800 cc","140,000 km","Rs 1,400,000",Yes
Nissan,Sunny,HB 12,1986,Manual,Petrol,Saloon,"1,500 cc","184,000 km","Rs 1,410,000",Yes
Tata,Nano,Cx,2013,Manual,Petrol,Hatchback,650 cc,"150,000 km","Rs 1,420,000",Yes
Tata,GenX Nano,LX,2013,Manual,Petrol,Hatchback,650 cc,"150,300 km","Rs 1,420,000",Yes
Mitsubishi,Lancer,,1981,Manual,Petrol,Saloon,"1,300 cc","76,833 km","Rs 1,425,000",Yes
Nissan,Sunny,Sedan,1987,Manual,Petrol,Saloon,"1,300 cc","200,000 km","Rs 1,425,000",Yes
Toyota,Corolla,Toyota,1987,Manual,Petrol,Station wagon,"1,290 cc","210,000 km","Rs 1,425,000",Yes
Mitsubishi,Lancer,Saloon,1983,Manual,Petrol,Saloon,"1,400 cc","52,000 km","Rs 1,430,000",Yes
Toyota,Raize,Z GRADE,2025,Automatic,Hybrid,SUV / 4x4,"1,200 cc","5,000 km","Rs 1,430,000",No
Bajaj,Qute,,2019,Tiptronic,Petrol,,"2,166 cc","22,000 km","Rs 1,450,000",No
Mitsubishi,Lancer,ASP,1989,Manual,Diesel,Saloon,"1,500 cc","132,000 km","Rs 1,450,000",No
Nissan,Sunny,Nissan,1988,Manual,Petrol,Saloon,"1,300 cc","225,000 km","Rs 1,450,000",Yes
Suzuki,Maruti,1994,1994,Manual,Petrol,Hatchback,800 cc,"123,120 km","Rs 1,450,000",Yes
Tata,Nano,,2011,Manual,Petrol,,624 cc,"65,000 km","Rs 1,450,000",No
Toyota,Corolla,Ke 74,1989,Manual,Petrol,Station wagon,"1,500 cc","335,632 km","Rs 1,450,000",No
Mazda,Familia,,1989,Manual,Petrol,Hatchback,"1,300 cc","273,000 km","Rs 1,475,000",No
Mitsubishi,Lancer,Car,1987,Manual,Petrol,Saloon,"1,290 cc","105,000 km","Rs 1,475,000",Yes
Suzuki,Alto,,2007,Manual,Petrol,Saloon,800 cc,"10,915 km","Rs 1,475,000",Yes
Bajaj,Qute,,2019,Manual,Petrol,Hatchback,216 cc,"956,622 km","Rs 1,480,000",Yes
Bajaj,Qute,,2019,Manual,Petrol,Hatchback,216 cc,"956,622 km","Rs 1,480,000",Yes
Toyota,Carina,Toyota,1987,Manual,Petrol,Station wagon,"1,500 cc","124,000 km","Rs 1,490,000",No
Hyundai,Stellar,,1989,Manual,Petrol,Saloon,"1,500 cc","259,000 km","Rs 1,495,000",Yes
Suzuki,Maruti,,2004,Manual,Petrol,,800 cc,"32,142 km","Rs 1,495,000",No
Suzuki,Maruti,800 EFI,2003,Manual,Petrol,,800 cc,"72,000 km","Rs 1,495,000",No
Bajaj,Qute,Bajaj,2019,Manual,Petrol,,217 cc,"14,000 km","Rs 1,500,000",Yes
Chery,QQ,,2007,Manual,Petrol,Hatchback,812 cc,"65,321 km","Rs 1,500,000",Yes
Daihatsu,Charade,,1987,Manual,Petrol,Hatchback,"1,000 cc","1,000,000 km","Rs 1,500,000",Yes
Mahindra,Other Model,4DR5,1985,Manual,Diesel,SUV / 4x4,"1,500 cc","336,000 km","Rs 1,500,000",Yes
Nissan,Sunny,Nissan B11,1985,Manual,Petrol,Saloon,"1,500 cc","250,000 km","Rs 1,500,000",Yes
Nissan,Sunny,,1986,Manual,Petrol,Saloon,"1,300 cc","238,000 km","Rs 1,500,000",Yes
Tata,Nano,Nano,2011,Manual,Petrol,Hatchback,650 cc,"390,000 km","Rs 1,500,000",Yes
Toyota,Corolla,Toyota,1987,Manual,Petrol,Saloon,"1,500 cc","891,112 km","Rs 1,500,000",No
Toyota,Corolla,KE 72,1986,Manual,Petrol,Station wagon,"1,600 cc","328,600 km","Rs 1,500,000",Yes
Chery,QQ,2007,2007,Manual,Petrol,,820 cc,"116,000 km","Rs 1,530,000",Yes
Mitsubishi,Lancer,Diesel,1991,Manual,Diesel,Coupé/Sports,"1,800 cc","285,600 km","Rs 1,550,000",Yes
Mitsubishi,Lancer,Box,1981,Manual,Petrol,Saloon,"1,200 cc","369,600 km","Rs 1,550,000",Yes
Nissan,March,,1987,Manual,Petrol,Hatchback,"1,000 cc","175,000 km","Rs 1,550,000",Yes
Nissan,370Z,Cab,1984,Manual,Diesel,,"2,488 cc","150,000 km","Rs 1,550,000",No
Nissan,Sunny,HB12,1988,Manual,Petrol,Saloon,"1,500 cc","147,339 km","Rs 1,550,000",Yes
Nissan,Sunny,HB-12,1989,Manual,Petrol,Saloon,"1,500 cc","550,000 km","Rs 1,550,000",No
Nissan,Sunny,HB12,1986,Manual,Petrol,Saloon,"1,300 cc","95,800 km","Rs 1,550,000",Yes
Suzuki,Zen,Maruti Zen,1996,Manual,Petrol,Hatchback,993 cc,"179,000 km","Rs 1,550,000",No
Suzuki,Cultus,,1996,Manual,Petrol,Station wagon,"1,490 cc","45,230 km","Rs 1,550,000",Yes
Tata,Nano,CX,2012,Manual,Petrol,Hatchback,600 cc,"242,000 km","Rs 1,550,000",Yes
Tata,Nano,2012,2012,Manual,Petrol,Hatchback,650 cc,"128,000 km","Rs 1,550,000",No
Toyota,Starlet,,1985,Manual,Petrol,Hatchback,"1,290 cc","260,000 km","Rs 1,550,000",Yes
Toyota,Corolla,DX Wagon - KE 72,1986,Manual,Petrol,Station wagon,"1,300 cc","325,000 km","Rs 1,550,000",Yes
Suzuki,Maruti,,2000,Manual,Petrol,Hatchback,800 cc,"961,316 km","Rs 1,570,000",No
Toyota,Corona,1987,1987,Manual,Petrol,Saloon,"1,452 cc","155,000 km","Rs 1,575,000",Yes
Toyota,Carina,AT150 Full Option,1990,Manual,Petrol,Saloon,"1,500 cc","160,000 km","Rs 1,575,000",Yes
Mitsubishi,Lancer,C12,1987,Manual,Petrol,Saloon,"1,300 cc","220,000 km","Rs 1,585,000",Yes
Mitsubishi,Lancer,1991,1991,Manual,Diesel,Saloon,"1,800 cc","140,000 km","Rs 1,590,000",Yes
Mahindra,Other Model,4DR5,1976,Manual,Diesel,SUV / 4x4,1 cc,"10,000 km","Rs 1,600,000",Yes
Mazda,Familia,323 L,1988,Manual,Petrol,Saloon,"1,300 cc","315,277 km","Rs 1,600,000",No
Mazda,Familia,323 L,1988,Manual,Petrol,Saloon,"1,300 cc","315,277 km","Rs 1,600,000",No
Nissan,Sunny,Trade sunny,1991,Manual,Petrol,Saloon,"1,499 cc","100,000 km","Rs 1,600,000",Yes
Toyota,Corsa,E-EL31-CORSA,1987,Manual,Petrol,Hatchback,"1,500 cc","319,200 km","Rs 1,600,000",Yes
Tata,Nano,LX,2012,Manual,Petrol,Hatchback,624 cc,"70,000 km","Rs 1,620,000",Yes
Nissan,Sunny,Trad  HB12,1989,Manual,Petrol,Saloon,"1,500 cc","100,000 km","Rs 1,640,000",Yes
Bajaj,Qute,Bajaj,2018,Manual,Petrol,Hatchback,216 cc,"6,500 km","Rs 1,650,000",Yes
Chery,QQ,,2007,Manual,Petrol,Saloon,800 cc,"64,700 km","Rs 1,650,000",Yes
Chery,QQ,308,2009,Manual,Petrol,Hatchback,800 cc,"46,000 km","Rs 1,650,000",Yes
Ford,Laser,,1990,Manual,Petrol,Saloon,"1,300 cc",0 km,"Rs 1,650,000",No
Nissan,Bluebird,,1990,Manual,Diesel,Saloon,"1,930 cc","264,478 km","Rs 1,650,000",Yes
Nissan,Other Model,HB 12 Sunny,1987,Manual,Petrol,Saloon,"1,480 cc","308,981 km","Rs 1,650,000",No
Tata,Nano,2011,2011,Manual,Petrol,Hatchback,650 cc,"140,000 km","Rs 1,650,000",Yes
Tata,Nano,2011,2011,Manual,Petrol,Hatchback,650 cc,"140,000 km","Rs 1,650,000",Yes
Tata,Indica,,2007,Manual,Petrol,Hatchback,"1,300 cc","90,000 km","Rs 1,650,000",Yes
Toyota,Corolla,Toyota Corolla,1987,Manual,Petrol,Saloon,"1,600 cc","155,000 km","Rs 1,650,000",No
Toyota,Corolla,CE90,1993,Manual,Diesel,Saloon,"1,830 cc","346,560 km","Rs 1,650,000",No
Suzuki,Maruti,796,1999,Manual,Petrol,Saloon,796 cc,"33,959 km","Rs 1,675,000",No
Toyota,Corona,,1984,Manual,Petrol,Saloon,"1,500 cc","166,569 km","Rs 1,675,000",No
Toyota,Corolla,1988,1988,Manual,Petrol,Station wagon,"1,500 cc","154,254 km","Rs 1,675,000",No
Chery,QQ,,2008,Manual,Petrol,Hatchback,800 cc,"77,000 km","Rs 1,680,000",Yes
Toyota,Carina,SGL,1993,Manual,Petrol,Saloon,"1,500 cc","180,000 km","Rs 1,685,000",No
Daihatsu,Cuore,1997,1997,Manual,Petrol,Hatchback,900 cc,"100,000 km","Rs 1,690,000",Yes
Mini,Cooper,Austin Mini Cooper,1960,Manual,Petrol,Hatchback,"1,000 cc","65,000 km","Rs 1,700,000",Yes
Nissan,Dutsun,1984,1984,Manual,Diesel,MPV,"2,300 cc","11,000 km","Rs 1,700,000",No
Toyota,Corolla,Toyota,1984,Manual,Petrol,Saloon,"1,300 cc","545,898 km","Rs 1,700,000",Yes
Suzuki,Maruti,800,2005,Manual,Petrol,Hatchback,800 cc,"75,000 km","Rs 1,720,000",Yes
Chery,QQ3,308,2006,Manual,Petrol,Hatchback,803 cc,"82,000 km","Rs 1,750,000",No
Micro,Trend,,2008,Manual,Petrol,Hatchback,800 cc,"156,000 km","Rs 1,750,000",Yes
Mitsubishi,Lancer,C11V,1988,Manual,Petrol,Station wagon,"1,300 cc","189,000 km","Rs 1,750,000",Yes
Mitsubishi,Lancer,C11V,1988,Manual,Petrol,Station wagon,"1,300 cc","189,000 km","Rs 1,750,000",Yes
Nissan,Dutsun,Nissan Datsun SD22,1980,Manual,Diesel,SUV / 4x4,"2,164 cc","999,990 km","Rs 1,750,000",Yes
Toyota,Corolla,96,1997,Manual,Diesel,Station wagon,"1,900 cc","200,000 km","Rs 1,750,000",Yes
Chery,QQ,308,2007,Manual,Petrol,Hatchback,800 cc,"98,000 km","Rs 1,759,000",Yes
Suzuki,Maruti,800,2002,Manual,Petrol,Hatchback,800 cc,"154,000 km","Rs 1,765,000",No
Chery,QQ,Chery,2007,Manual,Petrol,,800 cc,"38,000 km","Rs 1,775,000",Yes
Daihatsu,Charade,G100S,1987,Manual,Petrol,Hatchback,990 cc,"58,000 km","Rs 1,775,000",Yes
Nissan,Navara,Nissan,2012,Manual,Diesel,SUV / 4x4,"2,800 cc","164,272 km","Rs 1,775,000",Yes
Nissan,AD Wagon,VY 10,1992,Manual,Petrol,Station wagon,"1,300 cc","300,000 km","Rs 1,775,000",Yes
Suzuki,Maruti,Used,2003,Manual,Petrol,Saloon,800 cc,"87,543 km","Rs 1,775,000",No
Honda,Vezel,Honda Z Play,2023,Automatic,Hybrid,SUV / 4x4,"1,500 cc","14,500 km","Rs 1,780,000",Yes
Honda,Vezel,Honda Z Play,2023,Automatic,Hybrid,SUV / 4x4,"1,500 cc","14,500 km","Rs 1,780,000",Yes
Nissan,Sunny,,1989,Manual,Petrol,Saloon,"1,500 cc","200,000 km","Rs 1,780,000",Yes
Toyota,Camry,CV30 Turbo,1992,Automatic,Diesel,Saloon,"1,970 cc","230,000 km","Rs 1,790,000",Yes
Austin,Mini,,1960,Manual,Petrol,Coupé/Sports,"1,000 cc","100,000 km","Rs 1,800,000",Yes
Chery,QQ3,,2008,Manual,Petrol,Hatchback,800 cc,"70,000 km","Rs 1,800,000",No
Mahindra,e2o,2020,2020,Automatic,Electric,Hatchback,700 cc,"80,000 km","Rs 1,800,000",Yes
Mercedes Benz,Other Model,W115,1973,Manual,Diesel,Saloon,"2,000 cc",0 km,"Rs 1,800,000",Yes
Mitsubishi,Lancer,ASP Model,1989,Manual,Petrol,Saloon,"1,500 cc","140,000 km","Rs 1,800,000",Yes
Peugeot,404,,1967,Manual,Diesel,,"2,000 cc","150,000 km","Rs 1,800,000",Yes
Peugeot,404,,1967,Manual,Diesel,,"2,000 cc","150,000 km","Rs 1,800,000",Yes
Suzuki,Maruti,800,2003,Manual,Petrol,Hatchback,800 cc,"102,000 km","Rs 1,800,000",No
Suzuki,Maruti,800,2003,Manual,Petrol,Hatchback,800 cc,"102,000 km","Rs 1,800,000",No
Toyota,Corolla,EE90,1990,Manual,Petrol,Saloon,"1,300 cc","16,500 km","Rs 1,800,000",No
Volkswagen,Beetle,2 door,1969,Manual,Petrol,Hatchback,"1,300 cc","115,000 km","Rs 1,800,000",No
Volkswagen,Beetle,2 door,1969,Manual,Petrol,,"1,300 cc","114,000 km","Rs 1,800,000",Yes
Tata,Indica,,2004,Manual,Petrol,,"1,405 cc","96,000 km","Rs 1,825,000",Yes
Suzuki,Maruti,Maruti 800,2004,Manual,Petrol,Hatchback,800 cc,"175,000 km","Rs 1,840,000",No
Tata,Indica,2005,2005,Manual,Petrol,Hatchback,"1,400 cc","90,000 km","Rs 1,840,000",No
Chery,QQ,Chery,2008,Manual,Petrol,,800 cc,"150,000 km","Rs 1,850,000",No
Nissan,Sunny,White,1987,Manual,Petrol,Saloon,"1,500 cc","250,000 km","Rs 1,850,000",Yes
Nissan,Bluebird,,1994,Manual,Diesel,,"1,970 cc","190,000 km","Rs 1,850,000",Yes
Toyota,Carina,AT150,1985,Manual,Petrol,Saloon,"1,450 cc","344,523 km","Rs 1,850,000",Yes
Toyota,Corsa,,1986,Manual,Petrol,Hatchback,"1,500 cc","255,000 km","Rs 1,850,000",Yes
Volkswagen,Beetle,,1968,Manual,Petrol,Hatchback,"1,300 cc","116,000 km","Rs 1,850,000",No
Nissan,Sunny,Trad,1988,Manual,Petrol,Saloon,"1,500 cc","180,000 km","Rs 1,875,000",Yes
Nissan,Sunny,,2007,Automatic,Petrol,,"1,300 cc","220,000 km","Rs 1,875,000",Yes
Nissan,Sunny,,1989,Manual,Petrol,Saloon,"1,300 cc","400,765 km","Rs 1,875,000",Yes
Toyota,Camry,Diesel Auto,1992,Automatic,Diesel,Saloon,"2,000 cc","200,000 km","Rs 1,875,000",No
Honda,Vezel,Z Premium,2025,Automatic,Petrol,,"1,500 cc",0 km,"Rs 1,880,000",No
Honda,Vezel,Z Premium,2025,Automatic,Petrol,,"1,500 cc",0 km,"Rs 1,880,000",No
Suzuki,Maruti,suzuki maruti,2006,Manual,Petrol,Hatchback,800 cc,"17,000 km","Rs 1,890,000",Yes
Tata,Indica,2005,2005,Manual,Petrol,Hatchback,"1,400 cc","100,000 km","Rs 1,890,000",No
Toyota,Other Model,town ace,1985,Manual,Petrol,,"1,300 cc","180,000 km","Rs 1,890,000",No
Maruti Suzuki,800,Maruti 800,2006,Manual,Petrol,Hatchback,800 cc,"120,000 km","Rs 1,895,000",Yes
Daihatsu,Charade,1994,1994,Manual,Petrol,Saloon,"1,300 cc","123,860 km","Rs 1,900,000",No
Hyundai,Accent,,2000,Manual,Petrol,Saloon,"1,500 cc","178,000 km","Rs 1,900,000",Yes
Hyundai,Elantra,Hyundai Elantra,2000,Manual,Petrol,Saloon,"1,599 cc","197,474 km","Rs 1,900,000",No
Maruti Suzuki,800,,2003,Manual,Petrol,Hatchback,800 cc,"34,000 km","Rs 1,900,000",No
Maruti Suzuki,800,Maruti 800,2005,Manual,Petrol,Hatchback,800 cc,"65,000 km","Rs 1,900,000",Yes
