Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Perodua,Axia,G 1st Owner,2017,Automatic,Petrol,Hatchback,"1,000 cc","91,000 km","Rs 5,790,000",Yes
Perodua,Axia,G 1st Owner,2017,Automatic,Petrol,Hatchback,"1,000 cc","91,000 km","Rs 5,790,000",Yes
Perodua,Axia,G Grade,2016,Automatic,Petrol,Hatchback,"1,000 cc","90,100 km","Rs 5,790,000",Yes
Suzuki,Alto,L Grade,2023,Automatic,Petrol,Hatchback,660 cc,"29,000 km","Rs 5,790,000",Yes
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"127,601 km","Rs 5,790,000",No
Suzuki,Wagon R FX,Non Safety,2017,Automatic,Hybrid,Hatchback,650 cc,"72,123 km","Rs 5,790,000",No
Suzuki,Wagon R Stingray,,2014,Automatic,Petrol,Hatchback,650 cc,"107,719 km","Rs 5,790,000",No
Daihatsu,Mira,"ES , PRE ORDER",2025,Automatic,Petrol,Hatchback,650 cc,"10,000 km","Rs 5,800,000",No
Hyundai,Tucson,SUV,2008,Automatic,Diesel,SUV / 4x4,"1,900 cc","19,427 km","Rs 5,800,000",Yes
Mitsubishi,L200,Dual purpose,1996,Manual,Diesel,,"1,477 cc","300,000 km","Rs 5,800,000",Yes
Nissan,X-Trail,Anniversary model,2007,Automatic,Petrol,,"1,497 cc","145,000 km","Rs 5,800,000",Yes
Perodua,Axia,,2016,Automatic,Petrol,Hatchback,998 cc,"88,360 km","Rs 5,800,000",Yes
Suzuki,Celerio,VXI,2016,Tiptronic,Petrol,Hatchback,"1,000 cc","41,000 km","Rs 5,800,000",Yes
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"47,656 km","Rs 5,800,000",No
Suzuki,Spacia,2016,2016,Automatic,Petrol,Hatchback,650 cc,"150,000 km","Rs 5,800,000",Yes
Suzuki,Wagon R Stingray,,2015,Automatic,Hybrid,Hatchback,650 cc,"89,000 km","Rs 5,800,000",Yes
Suzuki,Celerio,Celerio X,2018,Automatic,Petrol,Hatchback,998 cc,"63,000 km","Rs 5,800,000",Yes
Suzuki,Swift,Suzuki,2009,Automatic,Petrol,Hatchback,"1,300 cc","120,000 km","Rs 5,800,000",Yes
Toyota,Passo,,2014,Automatic,Petrol,,"1,000 cc","58,500 km","Rs 5,800,000",No
Toyota,Belta,,2007,Automatic,Petrol,Saloon,"1,000 cc","166,000 km","Rs 5,800,000",Yes
Toyota,Vitz,Full option,2010,Automatic,Petrol,Hatchback,"1,000 cc","103,000 km","Rs 5,800,000",Yes
Suzuki,SX4,,2010,Automatic,Petrol,,"1,598 cc","81,000 km","Rs 5,800,001",Yes
Honda,Fit,GP1,2010,Automatic,Petrol,Hatchback,"1,330 cc","140,211 km","Rs 5,825,000",Yes
Toyota,Vitz,SCP 90 1300cc,2013,Automatic,Petrol,Hatchback,"1,000 cc","140,000 km","Rs 5,825,000",Yes
Toyota,Vitz,SCP 90 1300cc,2013,Automatic,Petrol,Hatchback,"1,000 cc","140,000 km","Rs 5,825,000",Yes
Suzuki,Wagon R Stingray,J style,2015,Automatic,Petrol,Hatchback,650 cc,"136,000 km","Rs 5,849,000",Yes
Hyundai,Grand i10,2018,2018,Automatic,Petrol,Hatchback,"1,000 cc","100,000 km","Rs 5,850,000",Yes
Mazda,Demio,,2008,Automatic,Petrol,,"1,340 cc","60,000 km","Rs 5,850,000",No
Mitsubishi,Lancer,,2004,Automatic,Petrol,Saloon,"1,500 cc","150,000 km","Rs 5,850,000",Yes
Mitsubishi,4DR,J36,1981,Manual,Diesel,,"2,000 cc","31,000 km","Rs 5,850,000",Yes
Nissan,X-Trail,T 30,2003,Automatic,Petrol,SUV / 4x4,"2,000 cc","191,000 km","Rs 5,850,000",Yes
Perodua,Axia,G Grade,2017,Automatic,Petrol,Hatchback,"1,000 cc","117,000 km","Rs 5,850,000",Yes
Suzuki,Wagon R FX,Suzuki,2015,Automatic,Hybrid,Hatchback,650 cc,"79,000 km","Rs 5,850,000",Yes
Suzuki,Celerio,X,2018,Automatic,Petrol,Hatchback,998 cc,"75,130 km","Rs 5,850,000",No
Suzuki,Wagon R FZ,Safety,2015,Automatic,Hybrid,Hatchback,650 cc,"78,191 km","Rs 5,850,000",No
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"156,279 km","Rs 5,850,000",No
Toyota,Corolla,121,2001,Automatic,Petrol,Saloon,"1,600 cc","168,000 km","Rs 5,850,000",Yes
Toyota,Corolla,121,2001,Automatic,Petrol,Saloon,"1,600 cc","168,000 km","Rs 5,850,000",Yes
Toyota,Corolla,121,2001,Automatic,Petrol,Saloon,"1,600 cc","168,000 km","Rs 5,850,000",Yes
Toyota,Corolla,121,2001,Automatic,Petrol,Saloon,"1,600 cc","168,000 km","Rs 5,850,000",Yes
Kia,Picanto,,2016,Automatic,Petrol,Hatchback,"1,000 cc","28,000 km","Rs 5,875,000",Yes
Perodua,Axia,G,2017,Automatic,Petrol,Hatchback,"1,000 cc","72,000 km","Rs 5,875,000",Yes
Perodua,Axia,G,2017,Automatic,Petrol,Hatchback,"1,000 cc","72,000 km","Rs 5,875,000",Yes
Perodua,Axia,G,2017,Automatic,Petrol,Hatchback,"1,000 cc","72,000 km","Rs 5,875,000",Yes
Suzuki,Wagon R,,2016,Automatic,Hybrid,,660 cc,"105,000 km","Rs 5,875,000",Yes
Suzuki,Wagon R FZ,Safety,2014,Automatic,Petrol,Hatchback,650 cc,"75,261 km","Rs 5,875,000",No
Suzuki,Hustler,Suzuki,2017,Automatic,Hybrid,Hatchback,660 cc,"86,300 km","Rs 5,875,000",Yes
Suzuki,Wagon R Stingray,,2014,Automatic,Petrol,,650 cc,"154,000 km","Rs 5,875,000",Yes
Toyota,Vitz,Toyota Vitz KSP90,2008,Automatic,Petrol,Hatchback,"1,000 cc","98,000 km","Rs 5,875,000",Yes
Toyota,Vitz,,2007,Automatic,Petrol,Hatchback,"1,300 cc","98,100 km","Rs 5,875,000",Yes
Daihatsu,Mira,L Safety,2023,Automatic,Petrol,Hatchback,660 cc,"29,000 km","Rs 5,890,000",Yes
Daihatsu,Mira,,2019,Automatic,Petrol,Hatchback,650 cc,"81,096 km","Rs 5,890,000",No
Nissan,Tiida,Latio,2008,Automatic,Petrol,Saloon,"1,500 cc","93,000 km","Rs 5,890,000",Yes
Nissan,Tiida,Latio,2008,Automatic,Petrol,Saloon,"1,500 cc","93,000 km","Rs 5,890,000",Yes
Perodua,Axia,,2016,Automatic,Petrol,Hatchback,998 cc,"92,356 km","Rs 5,890,000",No
Suzuki,Hustler,,2015,Automatic,Hybrid,Hatchback,650 cc,"161,817 km","Rs 5,890,000",No
Daihatsu,Mira,B,2023,Automatic,Petrol,,660 cc,"28,000 km","Rs 5,900,000",Yes
Daihatsu,Cast Activa,,2016,Automatic,Petrol,Hatchback,665 cc,"115,000 km","Rs 5,900,000",Yes
Honda,Fit Aria,,2008,Automatic,Petrol,Saloon,"1,500 cc","149,000 km","Rs 5,900,000",Yes
Honda,Fit,GP 1,2012,Automatic,Petrol,,"1,330 cc","148,000 km","Rs 5,900,000",Yes
Kia,Picanto,Kia,2017,Automatic,Petrol,Hatchback,999 cc,"88,000 km","Rs 5,900,000",No
Kia,Picanto,,2017,Automatic,Petrol,Hatchback,"1,000 cc","86,500 km","Rs 5,900,000",No
Land Rover,Freelander,,2000,Manual,Diesel,SUV / 4x4,"2,000 cc","309,427 km","Rs 5,900,000",Yes
Other brand,Other model,Huaihai EA,2025,Automatic,Electric,Hatchback,13 cc,0 km,"Rs 5,900,000",Yes
Perodua,Axia,G Grade,2016,Automatic,Petrol,Hatchback,"1,000 cc","115,000 km","Rs 5,900,000",Yes
Suzuki,Wagon R,FZ,2015,Automatic,Petrol,,660 cc,"130,000 km","Rs 5,900,000",No
Suzuki,Wagon R,FZ,2015,Automatic,Petrol,,660 cc,"130,000 km","Rs 5,900,000",No
Suzuki,Wagon R Stingray,,2015,Automatic,Petrol,Hatchback,650 cc,"93,390 km","Rs 5,900,000",No
Suzuki,Wagon R FX,Limited Edition,2016,Automatic,Hybrid,Hatchback,660 cc,"95,000 km","Rs 5,900,000",Yes
Suzuki,Wagon R Stingray,J Style,2014,Automatic,Petrol,Hatchback,650 cc,"165,000 km","Rs 5,900,000",No
Suzuki,Alto,HA37S - A - LGGG-A1,2024,Automatic,Petrol,MPV,660 cc,"10,000 km","Rs 5,900,000",Yes
Suzuki,Wagon R FX,,2017,Automatic,Hybrid,Hatchback,660 cc,"122,300 km","Rs 5,900,000",Yes
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"128,000 km","Rs 5,900,000",Yes
Suzuki,Wagon R Stingray,,2015,Automatic,Hybrid,Hatchback,660 cc,"84,300 km","Rs 5,900,000",No
Toyota,Avanza,Full Option,2007,Manual,Petrol,Hatchback,"1,500 cc","274,000 km","Rs 5,900,000",Yes
Toyota,Vitz,Pink silver,2010,Automatic,Petrol,Hatchback,"1,000 cc","15,620 km","Rs 5,900,000",Yes
Toyota,Vitz,,2009,Automatic,Petrol,Hatchback,"1,300 cc","116,250 km","Rs 5,925,000",Yes
Toyota,Vitz,,2009,Automatic,Petrol,Hatchback,"1,300 cc","116,250 km","Rs 5,925,000",Yes
Toyota,Corolla,121,2004,Automatic,Petrol,Saloon,"1,500 cc","249,000 km","Rs 5,925,000",Yes
Daihatsu,Mira,ES SA3 B,2023,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 5,950,000",Yes
Daihatsu,Mira,ES SA3 B,2023,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 5,950,000",Yes
Daihatsu,Mira,L SA3,2024,Automatic,Petrol,,660 cc,"4,000 km","Rs 5,950,000",No
Daihatsu,Mira,"ES L SA 3, 2024",2024,Automatic,Petrol,,660 cc,"10,300 km","Rs 5,950,000",Yes
DFSK,Glory,330,2021,Manual,Diesel,Station wagon,"1,248 cc","40,000 km","Rs 5,950,000",Yes
Honda,Fit,GP1 / GE6,2010,Automatic,Petrol,Hatchback,"1,300 cc","38,200 km","Rs 5,950,000",Yes
Micro,Kyron,Micro,2008,Tiptronic,Diesel,SUV / 4x4,"2,000 cc","320,000 km","Rs 5,950,000",Yes
Nissan,Navara,,2007,Manual,Diesel,SUV / 4x4,"2,500 cc","260,000 km","Rs 5,950,000",Yes
Nissan,Tiida,Latio,2007,Automatic,Petrol,,"1,500 cc","162,000 km","Rs 5,950,000",Yes
Suzuki,Swift,,2011,Manual,Petrol,Saloon,"1,197 cc","203,675 km","Rs 5,950,000",No
Suzuki,Swift,,2011,Manual,Petrol,Saloon,"1,197 cc","203,675 km","Rs 5,950,000",No
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Suzuki,Wagon R Stingray,EXCLUSIVE J-Style,2014,Automatic,Petrol,Hatchback,660 cc,"125,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Wigo,,2017,Automatic,Petrol,Hatchback,"1,000 cc","33,800 km","Rs 5,950,000",No
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Toyota,Yaris,,2011,Manual,Petrol,Saloon,"1,300 cc","106,000 km","Rs 5,950,000",Yes
Honda,N-Box,2016,2016,Automatic,Petrol,Station wagon,660 cc,"125,000 km","Rs 5,975,000",No
Suzuki,Swift,Bettle,2010,Automatic,Petrol,Hatchback,"1,300 cc","127,000 km","Rs 5,975,000",Yes
Suzuki,Swift,Bettle,2010,Automatic,Petrol,Hatchback,"1,300 cc","127,000 km","Rs 5,975,000",Yes
Toyota,Vitz,Toyota,2010,Automatic,Petrol,Hatchback,"1,300 cc","102,000 km","Rs 5,975,000",Yes
Honda,Airwave,,2007,Automatic,Petrol,Station wagon,"1,500 cc","180,000 km","Rs 5,985,000",No
Daihatsu,Copen,,2016,Automatic,Petrol,Convertible,660 cc,"65,600 km","Rs 5,990,000",Yes
Daihatsu,Mira,E:S L SA3,2024,Automatic,Petrol,Hatchback,650 cc,"2,000 km","Rs 5,990,000",No
Daihatsu,Tanto,Custom Turbo,2015,Automatic,Petrol,Hatchback,650 cc,"79,311 km","Rs 5,990,000",No
Daihatsu,Copen,Daihatsu,2016,Automatic,Petrol,,660 cc,"65,000 km","Rs 5,990,000",Yes
Daihatsu,Mira,ES L Grade,2024,Automatic,Petrol,Hatchback,660 cc,"3,600 km","Rs 5,990,000",No
Kia,Picanto,,2016,Tiptronic,Petrol,Hatchback,998 cc,"109,471 km","Rs 5,990,000",No
Micro,Actyon,Double Cab,2008,Manual,Diesel,Coupé/Sports,"1,998 cc","129,651 km","Rs 5,990,000",Yes
Nissan,Bluebird,,2010,Automatic,Petrol,Saloon,"1,997 cc","148,245 km","Rs 5,990,000",No
Suzuki,Wagon R FX,Safety,2018,Automatic,Hybrid,Hatchback,650 cc,"54,503 km","Rs 5,990,000",No
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"114,310 km","Rs 5,990,000",No
Suzuki,Wagon R Stingray,J Style,2014,Automatic,Petrol,Hatchback,650 cc,"106,681 km","Rs 5,990,000",No
Toyota,Corolla,121,2006,Automatic,Petrol,Saloon,"1,500 cc","120,000 km","Rs 5,990,000",Yes
Toyota,Belta,Toyota,2007,Automatic,Petrol,Saloon,"1,300 cc","150,000 km","Rs 5,990,000",Yes
Land Rover,Range Rover Sport,P400 Autobiography,2019,Automatic,Hybrid,SUV / 4x4,"2,000 cc","41,000 km","Rs 50,000,000",No
Mercedes Benz,C200,Aussie AMG Premium+,2025,Automatic,Petrol,Saloon,"1,500 cc",0 km,"Rs 50,000,000",Yes
Mercedes Benz,S500,AMG Premium Plus F/L,2015,Automatic,Petrol,Saloon,"3,000 cc","67,000 km","Rs 50,000,000",Yes
Mercedes Benz,GLE 300D,GLE 300D 4Matic,2020,Automatic,Diesel,SUV / 4x4,"1,990 cc","35,000 km","Rs 50,000,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TXL,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","18,000 km","Rs 50,000,000",No
Toyota,Land Cruiser Prado,,2018,Automatic,Diesel,,"3,000 cc","112,000 km","Rs 50,000,000",Yes
Toyota,Land Cruiser Prado,150 Prado,2023,Automatic,Petrol,Hatchback,"2,700 cc","22,500 km","Rs 50,500,000",Yes
Nissan,Sunny,,1982,Manual,Petrol,Saloon,"1,500 cc","30,000 km","Rs 500,000",Yes
Toyota,Land Cruiser Prado,VX diesel 2018,2018,Tiptronic,Diesel,SUV / 4x4,"3,000 cc","70,000 km","Rs 51,000,000",Yes
Toyota,Land Cruiser Sahara,V8 202 BRUNO CROSS,2015,Tiptronic,Petrol,SUV / 4x4,"4,500 cc","70,000 km","Rs 51,000,000",No
Toyota,Land Cruiser Prado,TX 150 Fully loaded,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","17,000 km","Rs 51,000,000",Yes
Toyota,Land Cruiser Sahara,V8 Diesel,2012,Automatic,Diesel,SUV / 4x4,"4,600 cc","158,000 km","Rs 51,000,000",Yes
Mercedes Benz,GLE 300D,4Matic,2019,Automatic,Diesel,SUV / 4x4,"2,000 cc","49,000 km","Rs 51,500,000",Yes
Toyota,Land Cruiser Prado,Trj150 Black Edition,2023,Automatic,Petrol,SUV / 4x4,"2,780 cc","16,000 km","Rs 51,500,000",Yes
Toyota,Land Cruiser Prado,,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","18,000 km","Rs 51,500,000",Yes
Toyota,Land Cruiser Prado,TRJ 150 TX-L,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","22,000 km","Rs 51,500,000",Yes
Toyota,Land Cruiser Prado,Prada TXL 150,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","8,500 km","Rs 51,750,000",No
Toyota,Land Cruiser Prado,TX Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","14,000 km","Rs 51,800,000",Yes
Toyota,Land Cruiser Prado,TX 150,2023,Automatic,Petrol,SUV / 4x4,"2,800 cc","16,000 km","Rs 51,900,000",Yes
Mercedes Benz,E200,CABRIOLET/CONVERTIBL,2023,Automatic,Petrol,Saloon,"1,490 cc","5,000 km","Rs 51,990,000",No
Mitsubishi,eK Wagon,,1984,Manual,Petrol,Station wagon,"1,400 cc","87,788 km","Rs 510,000",Yes
BMW,X6 M,4400CC V8,2017,Tiptronic,Diesel,SUV / 4x4,"4,000 cc","57,000 km","Rs 52,000,000",No
Jeep,Wrangler,Rubicon,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",0 km,"Rs 52,000,000",No
Jeep,Wrangler,Rubicon,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",0 km,"Rs 52,000,000",No
Land Rover,Range Rover Sport,Autobiography,2018,Automatic,Hybrid,SUV / 4x4,"2,000 cc","70,000 km","Rs 52,000,000",Yes
Mercedes Benz,GLE 300D,AMG-Tech Pack Plus,2019,Automatic,Diesel,SUV / 4x4,"2,000 cc","46,000 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,TRJ150,2023,Tiptronic,Petrol,SUV / 4x4,"2,800 cc","4,000 km","Rs 52,000,000",No
Toyota,Land Cruiser Prado,LC150 TX,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","14,000 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,Tx Diesel,2017,Automatic,Diesel,SUV / 4x4,"2,900 cc","95,000 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","18,000 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,TRJ 150,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","6,000 km","Rs 52,000,000",No
Toyota,Land Cruiser Prado,TRJ150 TX Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","13,950 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,Land Cruiser,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","26,559 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Sahara,VX V8 Diesel,2013,Automatic,Diesel,SUV / 4x4,"4,500 cc","223,000 km","Rs 52,000,000",Yes
Toyota,Land Cruiser Prado,TXL Pre Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","15,500 km","Rs 52,150,000",Yes
Toyota,Land Cruiser Prado,TXL Pre Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","15,500 km","Rs 52,150,000",Yes
Toyota,Land Cruiser Prado,TXL Pre Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","15,500 km","Rs 52,150,000",Yes
Jeep,Wrangler,JL Rubicon 2.0 Turbo,2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","81,000 km","Rs 52,500,000",Yes
Land Rover,Range Rover Sport,Autobiography,2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","40,000 km","Rs 52,500,000",Yes
Land Rover,Range Rover Sport,P400E Autobiography,2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","76,000 km","Rs 52,500,000",Yes
Toyota,Crown,Z ESTATE EXCLUSIVE,2025,Automatic,Petrol,SUV / 4x4,"2,500 cc",0 km,"Rs 52,500,000",Yes
Toyota,Crown,Z ESTATE EXCLUSIVE,2025,Automatic,Petrol,SUV / 4x4,"2,500 cc",0 km,"Rs 52,500,000",Yes
Toyota,Land Cruiser Prado,TX.L,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","5,000 km","Rs 52,500,000",Yes
Toyota,Land Cruiser Prado,TRJ 150 TX-L,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","15,500 km","Rs 52,500,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX Limited UN,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","11,000 km","Rs 52,500,000",Yes
Toyota,Land Cruiser Prado,TXL,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","10,000 km","Rs 52,500,000",No
Toyota,Land Cruiser Prado,TXL Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","5,000 km","Rs 52,500,000",Yes
Toyota,Land Cruiser Prado,Fully Loaded Tx,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","17,000 km","Rs 52,500,000",No
Toyota,Land Cruiser Prado,TX-L,2023,Automatic,Petrol,SUV / 4x4,"2,800 cc","17,000 km","Rs 52,750,000",Yes
Toyota,Land Cruiser Prado,TX-L,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","4,000 km","Rs 52,750,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TX-L Black Edition,2023,Automatic,Petrol,SUV / 4x4,"2,690 cc","18,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX Limited UN,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","6,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ150 TX L,2022,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","16,000 km","Rs 52,800,000",Yes
Toyota,Land Cruiser Prado,TRJ 150 TX,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","14,000 km","Rs 52,900,000",Yes
Toyota,Land Cruiser Prado,TRJ 150 TX,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","15,000 km","Rs 52,900,000",Yes
Toyota,Land Cruiser Prado,TX-150,2023,Automatic,Petrol,,"2,700 cc","20,000 km","Rs 52,950,000",No
Toyota,Land Cruiser Prado,TX-150,2023,Automatic,Petrol,,"2,700 cc","20,000 km","Rs 52,950,000",No
Mitsubishi,Lancer,,1978,Manual,Petrol,Saloon,"1,200 cc","338,097 km","Rs 520,000",Yes
Jeep,Wrangler,Rubicon,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc","1,000 km","Rs 53,000,000",No
Jeep,Wrangler,Rubicon BrandNew,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",100 km,"Rs 53,000,000",No
Jeep,Wrangler,Rubicon,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",0 km,"Rs 53,000,000",No
Toyota,Land Cruiser Prado,TRJ 150,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","20,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Sahara,LC 200,2017,Automatic,Petrol,SUV / 4x4,"4,700 cc","100,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,TRJ 150,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","20,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,TRJ 150,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","20,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,V8 ZX,2011,Automatic,Petrol,,"4,600 cc","102,000 km","Rs 53,000,000",No
Toyota,Land Cruiser Prado,V8 ZX,2011,Automatic,Petrol,,"4,600 cc","102,000 km","Rs 53,000,000",No
Toyota,Land Cruiser Prado,TX-L,2023,Automatic,Petrol,SUV / 4x4,"2,800 cc","12,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,TRJ 150,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","20,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,TX Limited,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","10,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,Black Edition,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","17,800 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,TX 150,2023,Automatic,Petrol,SUV / 4x4,"1,700 cc","7,000 km","Rs 53,000,000",Yes
Toyota,Land Cruiser Prado,Toyota,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","10,000 km","Rs 53,000,000",No
Toyota,Land Cruiser Sahara,LC 200,2017,Automatic,Petrol,SUV / 4x4,"4,700 cc","100,000 km","Rs 53,000,000",Yes
